name,ring,quadrant,isNew,description
Composer,adopt,tools,FALSE,Remove description
Mountebank,adopt,tools,FALSE,Remove description
Postman,adopt,tools,FALSE,Remove description
Browsersync,trial,tools,TRUE,Remove description
Carthage,trial,tools,TRUE,Remove description
Consul,trial,tools,FALSE,Remove description
Docker Toolbox,trial,tools,TRUE,Remove description
Gitrob,trial,tools,TRUE,Remove description
GitUp,trial,tools,TRUE,Remove description
Hamms,trial,tools,FALSE,Remove description
IndexedDB,trial,tools,FALSE,Remove description
Polly,trial,tools,TRUE,Remove description
REST-assured,trial,tools,FALSE,Remove description
Sensu,trial,tools,TRUE,Remove description
SysDig,trial,tools,TRUE,Remove description
ZAP,trial,tools,FALSE,Remove description
Apache Kafka,assess,tools,FALSE,Remove description
Concourse CI,assess,tools,TRUE,Remove description
Espresso,assess,tools,TRUE,Remove description
Gauge,assess,tools,TRUE,Remove description
Gor,assess,tools,FALSE,Remove description
ievms,assess,tools,TRUE,Remove description
Let's Encrypt,assess,tools,TRUE,Remove description
Pageify,assess,tools,TRUE,Remove description
Prometheus,assess,tools,TRUE,Remove description
Quick,assess,tools,FALSE,Remove description
RAML,assess,tools,TRUE,Remove description
Security Monkey,assess,tools,FALSE,Remove description
Sleepy Puppy,assess,tools,TRUE,Remove description
Visual Studio Code,assess,tools,TRUE,Remove description
Citrix for development,hold,tools,TRUE,Remove description
Consumer-driven contract testing,adopt,techniques,FALSE,Remove description
Decoupling deployment from release,adopt,techniques,TRUE,Remove description
Generated infrastructure diagrams,adopt,techniques,FALSE,Remove description
NoPSD,adopt,techniques,TRUE,Remove description
Products over projects,adopt,techniques,TRUE,Remove description
Threat Modelling,adopt,techniques,TRUE,Remove description
BEM,trial,techniques,TRUE,Remove description